ID,first_name,last_name,DOB
F1323,Lindsey,Dilello,9/13/1999
F1324,Devora,Perez,10/15/2000
F1325,Herman,Demesa,1/15/2000
F1326,Rory,Papasergi,9/20/1999
F1327,Talia,Riopelle,10/22/2000
F1328,Van,Shire,1/22/2000
F1329,Lucina,Lary,9/27/1999
F1330,Bok,Isaacs,10/29/2000
F1331,Rolande,Spickerman,1/29/2000
F1332,Howard,Paulas,10/4/1999
F1333,Kimbery,Madarang,11/5/2000
F1334,Thurman,Manno,2/5/2000
F1335,Becky,Mirafuentes,10/11/1999
F1336,Beatriz,Corrington,11/12/2000
F1337,Marti,Maybury,2/12/2000
F1338,Nieves,Gotter,10/18/1999
F1339,Leatha,Hagele,11/19/2000
F1340,Valentin,Klimek,2/19/2000
F1341,Melissa,Wiklund,10/25/1999
F1342,Sheridan,Zane,11/26/2000
F1343,Bulah,Padilla,2/26/2000
F1344,Audra,Kohnert,11/1/1999
F1345,Daren,Weirather,12/3/2000
F1346,Fernanda,Jillson,3/4/2000
F1347,Gearldine,Gellinger,11/8/1999
F1348,Chau,Kitzman,12/10/2000
F1349,Theola,Frey,3/11/2000
F1350,Cheryl,Haroldson,11/15/1999
F1351,Laticia,Merced,12/17/2000
F1352,Carissa,Batman,3/18/2000
F1353,Lezlie,Craghead,11/22/1999
F1354,Ozell,Shealy,12/24/2000
F1355,Arminda,Parvis,3/25/2000
F1356,Reita,Leto,11/29/1999
F1357,Yolando,Luczki,12/31/2000
F1358,Lizette,Stem,4/1/2000
F1359,Gregoria,Pawlowicz,12/6/1999
F1360,Carin,Deleo,1/7/2001
F1361,Chantell,Maynerich,4/8/2000
F1362,Dierdre,Yum,12/13/1999
F1363,Larae,Gudroe,1/14/2001
F1364,Latrice,Tolfree,4/15/2000
F1365,Kerry,Theodorov,12/20/1999
F1366,Dorthy,Hidvegi,1/21/2001
F1367,Fannie,Lungren,4/22/2000
F1368,Evangelina,Radde,12/27/1999
F1369,Novella,Degroot,1/28/2001
F1370,Clay,Hoa,4/29/2000
F1371,Jennifer,Fallick,1/3/2000
F1372,Irma,Wolfgramm,2/4/2001
F1373,Eun,Coody,5/6/2000
F1374,Sylvia,Cousey,1/10/2000
F1375,Nana,Wrinkles,2/11/2001
F1376,Layla,Springe,5/13/2000
F1377,Joesph,Degonia,1/17/2000
F1378,Annabelle,Boord,2/18/2001
F1379,Stephaine,Vinning,5/20/2000
F1380,Nelida,Sawchuk,1/24/2000
F1381,Marguerita,Hiatt,2/25/2001
F1382,Carmela,Cookey,5/27/2000
F1383,Junita,Brideau,1/31/2000
F1384,Claribel,Varriano,3/4/2001
F1385,Benton,Skursky,6/3/2000
F1386,Hillary,Skulski,2/7/2000
F1387,Merilyn,Bayless,3/11/2001
F1388,Teri,Ennaco,6/10/2000
F1389,Merlyn,Lawler,2/14/2000
F1390,Georgene,Montezuma,3/18/2001
F1391,Jettie,Mconnell,6/17/2000
F1392,Lemuel,Latzke,2/21/2000
F1393,Melodie,Knipp,3/25/2001
F1394,Candida,Corbley,6/24/2000
F1395,Karan,Karpin,2/28/2000
F1396,Andra,Scheyer,4/1/2001
F1397,Felicidad,Poullion,7/1/2000
F1398,Belen,Strassner,3/6/2000
F1399,Gracia,Melnyk,4/8/2001
F1400,Jolanda,Hanafan,7/8/2000
F1401,Barrett,Toyama,3/13/2000
F1402,Helga,Fredicks,4/15/2001
F1403,Ashlyn,Pinilla,7/15/2000
F1404,Fausto,Agramonte,3/20/2000
F1405,Ronny,Caiafa,4/22/2001
F1406,Marge,Limmel,7/22/2000
F1407,Norah,Waymire,3/27/2000
F1408,Aliza,Baltimore,4/29/2001
F1409,Mozell,Pelkowski,7/29/2000
F1410,Viola,Bitsuie,4/3/2000
F1411,Franklyn,Emard,5/6/2001
F1412,Willodean,Konopacki,8/5/2000
F1413,Beckie,Silvestrini,4/10/2000
F1414,Rebecka,Gesick,5/13/2001
F1415,Frederica,Blunk,8/12/2000
F1416,Glen,Bartolet,4/17/2000
F1417,Freeman,Gochal,5/20/2001
F1418,Vincent,Meinerding,8/19/2000
F1419,Rima,Bevelacqua,4/24/2000
F1420,Glendora,Sarbacher,5/27/2001
F1421,Avery,Steier,8/26/2000
F1422,Cristy,Lother,5/1/2000
F1423,Nicolette,Brossart,6/3/2001
F1424,Tracey,Modzelewski,9/2/2000
F1425,Virgina,Tegarden,5/8/2000
F1426,Tiera,Frankel,6/10/2001
F1427,Alaine,Bergesen,9/9/2000
F1428,Earleen,Mai,5/15/2000
F1429,Leonida,Gobern,6/17/2001
F1430,Ressie,Auffrey,9/16/2000
F1431,Justine,Mugnolo,5/22/2000
F1432,Eladia,Saulter,6/24/2001
F1433,Chaya,Malvin,9/23/2000
F1434,Gwenn,Suffield,5/29/2000
F1435,Salena,Karpel,7/1/2001
F1436,Yoko,Fishburne,9/30/2000
F1437,Taryn,Moyd,6/5/2000
F1438,Katina,Polidori,7/8/2001
F1439,Rickie,Plumer,10/7/2000
F1440,Alex,Loader,6/12/2000
F1441,Lashon,Vizarro,7/15/2001
F1442,Lauran,Burnard,10/14/2000
F1443,Ceola,Setter,6/19/2000
F1444,My,Rantanen,7/22/2001
F1445,Lorrine,Worlds,10/21/2000
F1446,Peggie,Sturiale,6/26/2000
F1447,Marvel,Raymo,7/29/2001
F1448,Daron,Dinos,10/28/2000
F1449,An,Fritz,7/3/2000
F1450,Portia,Stimmel,8/5/2001
F1451,Rhea,Aredondo,11/4/2000
F1452,Benedict,Sama,7/10/2000
F1453,Alyce,Arias,8/12/2001
F1454,Heike,Berganza,11/11/2000
F1455,Carey,Dopico,7/17/2000
F1456,Dottie,Hellickson,8/19/2001
F1457,Deandrea,Hughey,11/18/2000
F1458,Kimberlie,Duenas,7/24/2000
F1459,Martina,Staback,8/26/2001
F1460,Skye,Fillingim,11/25/2000
F1461,Jade,Farrar,7/31/2000
F1462,Charlene,Hamilton,9/2/2001
F1463,Geoffrey,Acey,12/2/2000
F1464,Stevie,Westerbeck,8/7/2000
F1465,Pamella,Fortino,9/9/2001
F1466,Harrison,Haufler,12/9/2000
F1467,Johnna,Engelberg,8/14/2000
F1468,Buddy,Cloney,9/16/2001
F1469,Dalene,Riden,12/16/2000
F1470,Jerry,Zurcher,8/21/2000
F1471,Haydee,Denooyer,9/23/2001
F1472,Joseph,Cryer,12/23/2000
F1473,Deonna,Kippley,8/28/2000
F1474,Raymon,Calvaresi,9/30/2001
F1475,Alecia,Bubash,12/30/2000
F1476,Ma,Layous,9/4/2000
F1477,Detra,Coyier,10/7/2001
F1478,Terrilyn,Rodeigues,1/6/2001
F1479,Salome,Lacovara,9/11/2000
F1480,Garry,Keetch,10/14/2001
F1481,Matthew,Neither,1/13/2001
F1482,Theodora,Restrepo,9/18/2000
F1483,Noah,Kalafatis,10/21/2001
F1484,Carmen,Sweigard,1/20/2001
F1485,Lavonda,Hengel,9/25/2000
F1486,Junita,Stoltzman,10/28/2001
F1487,Herminia,Nicolozakes,1/27/2001
F1488,Casie,Good,10/2/2000
F1489,Reena,Maisto,11/4/2001
F1490,Mirta,Mallett,2/3/2001
F1491,Cathrine,Pontoriero,10/9/2000
F1492,Filiberto,Tawil,11/11/2001
F1493,Raul,Upthegrove,2/10/2001
F1494,Sarah,Candlish,10/16/2000
F1495,Lucy,Treston,11/18/2001
F1496,Judy,Aquas,2/17/2001
F1497,Yvonne,Tjepkema,10/23/2000
F1498,Kayleigh,Lace,11/25/2001
F1499,Felix,Hirpara,2/24/2001
